image_id,breed
7ede553357,nerodia-erythrogaster
3500b219e4,natrix-natrix
d43a78d6d9,crotalus-horridus
1f36f26994,storeria-dekayi
8cb85fc58e,storeria-dekayi
7176bcfe9a,lampropeltis-triangulum
27f2d0f582,storeria-dekayi
43eebba928,pantherophis-obsoletus
180a56f143,pantherophis-obsoletus
07fd20e8bd,agkistrodon-piscivorus
d6145eb8ef,pituophis-catenifer
43cf88006f,storeria-dekayi
545094975f,crotalus-atrox
de232d35ce,storeria-dekayi
f49f11daf4,lampropeltis-triangulum
be70c24805,crotalus-atrox
8a68c61789,pantherophis-alleghaniensis
e4a0afbde5,nerodia-sipedon
5d046e4a57,pantherophis-obsoletus
9450d432f1,agkistrodon-piscivorus
24ae6b28c9,crotalus-viridis
bbbcf461fd,heterodon-platirhinos
25f864a129,pantherophis-emoryi
9d63e29dab,lampropeltis-californiae
560a7820ef,pantherophis-obsoletus
261a672081,crotalus-atrox
e08cecfcc8,crotalus-atrox
dcbaefa9de,pantherophis-guttatus
4757eec719,storeria-dekayi
7a5772b7df,pantherophis-guttatus
756a3734d1,pantherophis-obsoletus
bcb51ed4fd,crotalus-atrox
b28a9dbd17,thamnophis-sirtalis
84496bd65b,storeria-dekayi
97254f0a1e,thamnophis-proximus
738e860bf3,storeria-dekayi
5b04af2d08,lampropeltis-triangulum
df1007a11e,thamnophis-sirtalis
71e4a3726c,pituophis-catenifer
9ec71badf5,storeria-dekayi
9aaf30ca4e,storeria-dekayi
502dbd30e8,opheodrys-aestivus
6a0948343e,storeria-dekayi
a9c94931b4,storeria-dekayi
94f8b871bc,thamnophis-sirtalis
65be04e1a7,thamnophis-sirtalis
553b5be83f,storeria-dekayi
f156e4b9ad,pantherophis-obsoletus
c195a35480,crotalus-atrox
ba36d77d65,thamnophis-proximus
ac60cb4c64,pantherophis-obsoletus
e99babb9da,crotalus-atrox
3f79415b22,storeria-dekayi
07a7f4b8a2,crotalus-atrox
8713b35996,crotalus-atrox
8161aa3270,nerodia-sipedon
c084141ebb,nerodia-erythrogaster
3f264dfa93,storeria-dekayi
ac29145967,crotalus-atrox
14cc5c0b07,lampropeltis-californiae
0d53f3592b,nerodia-erythrogaster
339702c73e,thamnophis-sirtalis
d9282cfc2f,lampropeltis-californiae
7cbb3598a5,opheodrys-aestivus
7d23dd1a25,agkistrodon-piscivorus
302ae16a4f,storeria-dekayi
665ce5599e,pantherophis-alleghaniensis
7fe9ccee38,crotalus-atrox
b4ee296fbe,storeria-dekayi
463302e361,thamnophis-sirtalis
a18b060715,thamnophis-proximus
72b767e027,thamnophis-sirtalis
